file,model,code_box,status,numeric_error,cli_speedup,first_fit_speedup,stanli_median_s,stanli_min_s,stanli_max_s,cmdstan_median_s,cmdstan_min_s,cmdstan_max_s,cmdstan_compile_s,stanli_first_fit_s,cmdstan_first_fit_s,stanli_rhat_max,cmdstan_rhat_max,stanli_ess_bulk_min,cmdstan_ess_bulk_min,stanli_divergences,cmdstan_divergences,failure_reason,log_density_max_absolute,log_density_max_ulp,log_density_count,gradient_max_absolute,gradient_max_ulp,gradient_count,outputs_max_absolute,outputs_max_ulp,outputs_count
ch11_m11_5,m11.5,11.19,ok,5.46e-15,2.1107888594931383,12.010542137534411,0.31225047949999407,0.30360012500000266,0.3178618750000055,0.659094833499978,0.6293014169999651,0.8393497920000073,3.0912027080000257,0.31225047949999407,3.7502975415000037,1.0032764058467383,1.0041746906216047,1234.0543333128628,1178.9086964909563,0,0,,0,0,3,1.0302869668521453e-13,37,33,0,0,3057
ch11_m11_6,m11.6,11.25,ok,0.0,1.418111281246221,81.83709653279023,0.037592812499980255,0.03526104100001248,0.03856829099999004,0.05331079149999596,0.049562458000025345,0.24968070799997122,3.0231758339999715,0.037592812499980255,3.0764866254999674,1.001540884693336,1.002626805924588,1274.5211162072128,1247.3952238123657,0,0,,0,0,3,0,0,33,0,0,201
ch11_m11_7,m11.7,11.29,ok,3.54e-16,1.2700959842527328,199.5399675821354,0.014412624499982485,0.013977375000024495,0.015435166999964167,0.018305416499970306,0.01789475000003904,0.2208334159999481,2.857589209000025,0.014412624499982485,2.8758946254999955,1.0007873917679553,1.0020067196083993,3390.45945123178,3196.758394309653,0,0,,0,0,3,1.1368683772161603e-13,3,6,0,0,6
ch11_m11_8,m11.8,11.32,ok,0.0,1.5123433303662388,58.73849732557002,0.05135870799995246,0.04942287500000475,0.05481804199996532,0.07767199949995529,0.07041862500000207,0.29146499999990283,2.9390613329999837,0.05135870799995246,3.016733332499939,1.0169252626597565,1.008349578849114,334.1543141156664,263.529838641302,0,0,,0,0,3,0,0,24,0,0,24
ch11_m11_9,m11.9,11.45,ok,0.0,1.258509308319326,218.89004380307358,0.011948312500010161,0.011177166000038596,0.017124041999977635,0.015037062499970943,0.012896083999976327,0.20271924999997282,2.6003295840000646,0.011948312500010161,2.6153666465000356,1.000686475532227,1.0068628522575567,1795.9964707359106,1378.1433341740324,0,0,,0,0,3,0,0,3,0,0,36
ch11_m11_10,m11.10,11.45,ok,0.0,1.3643983924453147,155.2755529528782,0.021025750000006838,0.02015120900000511,0.02177041600003804,0.028687499499966407,0.0263384579999979,0.22569745800001328,3.2360974580000743,0.021025750000006838,3.2647849575000407,1.0009222489325547,1.0008480697213826,3198.4646409377206,3616.9753539366625,0,0,,0,0,3,0,0,12,0,0,72
ch11_m11_11,m11.11,11.49,ok,2.78e-16,1.6216230023700051,28.089179551245458,0.1350422920000085,0.12965270800003736,0.14135799999996834,0.21898768699998072,0.20747449999998935,0.42351654100002634,3.574239499999976,0.1350422920000085,3.7932271869999568,1.0034108119589198,1.0080699231896348,1314.7411310196171,1557.6900649756014,1,0,,0,0,3,1.862645149230957e-09,2,15,0,0,75
ch11_m_pois,m_pois,11.61,ok,0.0,1.1439624895372278,202.86772867404693,0.012517145999993318,0.012204291999978523,0.013294833000031758,0.01431914550005331,0.013643790999935845,0.2077950419999297,2.525005833000023,0.012517145999993318,2.539324978500076,1.0013980379758627,1.0018146091029625,2917.8596249295792,3611.3762044172054,0,0,,0,0,3,0,0,6,0,0,6
ch12_m12_1,m12.1,12.2,ok,3.36e-16,1.2838187336568427,105.81916448951443,0.030517645500026447,0.028695500000026186,0.03545700000006491,0.0391791250000324,0.037501084000041374,0.22479737500009378,3.190172623999956,0.030517645500026447,3.2293517489999886,1.0051778256845434,1.0016942664484683,2045.1156449742414,1804.3107912400199,0,0,,0,0,3,8.881784197001252e-16,2,9,0,0,12
ch12_m12_2,m12.2,12.6,ok,2.09e-16,1.4097571715762787,38.57202306362758,0.10714979149997816,0.10101400000007743,0.1161880839999867,0.1510551869999972,0.1336269580000362,0.33775020799998856,3.981929042000047,0.10714979149997816,4.132984229000044,1.0051035852504724,1.003900847775726,1073.4451008968558,1557.979576551197,0,0,,1.4210854715202004e-14,1,3,7.105427357601002e-15,1,18,0,0,78
ch12_m12_3,m12.3,12.9,ok,9.22e-15,9.277586017330352,100.83743984289296,0.02726520799996024,0.026838874999953077,0.029283125000006294,0.2529553125000348,0.23633499999994,0.4847724170000447,2.49639845899992,0.02726520799996024,2.7493537714999547,1.0046608094424994,1.0028878521597884,1162.8352443222793,1207.7532559160522,0,0,,1.9895196601282805e-12,35,3,5.542233338928781e-13,78,6,0,0,6
ch12_m12_3_alt,m12.3_alt,12.11,ok,1.7e-14,4.418508217430253,49.11662535838746,0.055938520499978495,0.04988220799998544,0.062086832999966646,0.24716481250004563,0.22899583399998846,0.4666602920000287,2.5003465419998747,0.055938520499978495,2.7475113544999203,1.0032439275652123,1.0043602720221296,1102.9432795572939,1182.7855610438587,0,0,,1.1937117960769683e-12,21,3,9.947598300641403e-13,140,6,0,0,6
ch12_m12_4,m12.4,12.16,ok,6.5e-14,146.86939111044256,152.31492223327803,0.5859831459999896,0.5580816670000104,0.6003627090000236,86.06298785400003,80.31632295899999,89.47038691699993,3.1909894589999794,0.5859831459999896,89.25397731300001,1.0016292743198476,1.0013478944423517,3011.501367214451,2635.0925580466833,0,0,,1.8844730220735073e-09,518,3,1.418811734765768e-10,312,18,0,0,18
ch12_m12_5,m12.5,12.24,ok,2e-14,1.5757670739072274,1.6106361501852355,102.39697933299988,95.84879650000016,103.06579158399995,161.35378850050006,157.54737599999999,166.075206083,3.5704880829999865,102.39697933299988,164.92427658350005,1.001685712333761,1.0021778256409977,1776.7543918178771,1743.2396686076531,0,0,,5.857145879417658e-10,161,3,1.000444171950221e-11,22,33,0,0,33
ch12_m12_6,m12.6,12.34,ok,2.9e-14,1.4520687195572077,1.4649704281088345,332.29350847950013,312.57253262500035,367.26222862500003,482.5130093749999,452.74835291700003,506.60278195800004,4.287154000000001,332.29350847950013,486.8001633749999,1.0034229813412525,1.0035560156408947,1777.306208412856,1208.0260098437793,0,0,,8.36735125631094e-10,230,3,3.495870259939693e-12,137,48,0,0,51
ch12_m12_7,m12.7,12.37,ok,2.61e-14,1.6043238959393264,1.6307223849823518,132.9193103545001,108.89977041700058,140.49972704200036,213.24562583350007,190.09117225,227.5423784589998,3.5088689579997663,132.9193103545001,216.75449479149984,1.0029365050454875,1.0004926169456134,2286.111760549708,2671.436596003822,0,0,,8.440110832452774e-10,232,3,7.185008144006133e-11,79,30,0,0,30
